,User,Tweet
0,NeGD_GoI,"1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia https://t.co/2VHUfi9WvZ"
1,mann_sks,"RT @_DigitalIndia: 📽️ Under an MoU signed between @CSCegov_ and October Cinemas, #CSC plans to open 10000 cinema halls by end of 2024 which…"
2,mann_sks,"RT @_DigitalIndia: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIn…"
3,prosunjoyi,#fashion #startup Virgio Fashion has raised $10 million in an extended Series A #funding led by a Netherlands-based tech investor Prosus Ventures. #India #StartupIndia #DigitalIndia #VentureCapital
4,ncct_institutes,"Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively successful digital payments interface to make a transaction and buy Rajasthani angrakha! #G20India 
#NCCT  #सहकारसेसमृद्धि #MinOfCooperatn #CooperativeSocietes https://t.co/ajbkNNOomP"
5,Jinubala_V,"RT @STPIPune: Welcome, M/s. AXEMAN TECHNOLOGY SOLUTIONS LLP! Looking forward to a successful journey ahead. 
#GrowWithSTPI #DigitalIndia #S…"
6,Jinubala_V,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
7,zarina10461901,"RT @BSNL_RJ: Talk unlimited ( Local/STD) for 336 days .....
#RechargeNow with #BSNL #PV1499
BSNL Portal https://t.co/1Jh2Rr3H3f
BSNL Selfca…"
8,dhruvjeet8171,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
9,FutureMaha4,"RT @_DigitalIndia: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIn…"
10,PolycabTelecom,"Multi-tube Double sheath Unarmoured Cable (2F-144F) - Suitable for local loop, metro, long-haul and broadband network
Know More - https://t.co/RZ0hzOdvqE

#MultitubeUnarmouredCable #DoubleSheathCable  #PolycabTelecom #VocalforLocal #DigitalIndia #MakeinIndia #AtmanirbharBharat https://t.co/x1Zesri4ri"
11,STPI062,"RT @STPIPune: Welcome, M/s. AXEMAN TECHNOLOGY SOLUTIONS LLP! Looking forward to a successful journey ahead. 
#GrowWithSTPI #DigitalIndia #S…"
12,Avikagain01,"RT @g20org: Experiencing #DigitalIndia! 

At Shilpgram crafts village, #G20 delegates used the UPI, India’s homegrown and massively success…"
13,shivanshus,"#digitalindiaportal a bogus site and setup by govt. people sitting there to receive calls have no idea how the business would work and have no etiqates to even talk , don't know how the govt has approved such initiative #PMModi #NarendraModi #PMOIndia #DigitalIndia #PublicUse"
14,alamakhtar2,"RT @STPIPune: Congratulations M/s. Freestone Technologies LLP, for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupIndi…"
15,alamakhtar2,"RT @STPIPune: Congratulations M/s. MMF Systems (India) Pvt. Ltd., for renewal of license! 
#GrowWithSTPI #DigitalIndia #STPIINDIA #StartupI…"
16,SewaVimo,"Leveraging digital technologies to enable women’s co-operatives: experience of national insurance VimoSEWA Co-operative Ltd. https://t.co/omOT09iQlC 
#digitization #womenempowerment #DigitalIndia #insurance #financialliteracy @GaDjournal @MinOfCooperatn @irdaindia @anup_malani"
17,KtlNyk,"RT @AyushmanNHA: #IITF2022 

Vishal chose #DigitalHealth with #ABHA 
You too generate your #ABHAnumber and take your first step towards #di…"
18,cbcsambalpur,"RT @GoI_MeitY: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia…"
19,MDALIHA69333876,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
20,suman19708771,"RT @suman19708771: CSC Jaankari Suvidha...
For all the latest information and details about the CSC Services, Videos, newsletters, Importan…"
21,suman19708771,"CSC Jaankari Suvidha...
For all the latest information and details about the CSC Services, Videos, newsletters, Important Dates, and much more.
Visit the CSC Jaankari Suvidha Portal https://t.co/OXIbU6goMZ
@CSCTelangana
#CSC #DigitalIndia #RuralEmpowerment https://t.co/XfaRLVDZ3m"
22,AmmaScheme,"RT @TeleLaw_: Mr. Rahil shares his Tele-Law experience.

Empowering Citizens through Tele-Law - Reaching the Unreached...

#TeleLaw #Digita…"
23,sunil25july,"RT @GoI_MeitY: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia…"
24,KtlNyk,RT @AyushmanNHA: Link and store your #health records with ABHA (#AyushmanBharatHealthAccount ) from your @digilocker_ind app. You can acces…
25,epfobarrackpore,"RT @socialepfo: #EPFO #Services on Digi Locker

#SocialSecurity #AmritMahotsav #DigiLocker #DigitalIndia https://t.co/K6dt46HP7w"
26,MDAlisherAli8,"RT @GoI_MeitY: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia…"
27,kanhiaya26,"RT @_DigitalIndia: 1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIn…"
28,GoI_MeitY,"1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia https://t.co/hVJL0PS4WI"
29,_DigitalIndia,"1,20,196 Post offices in India are providing Common Service Centre (CSC) Services. @IndiaPostOffice @CSCegov_ #DigitalIndia https://t.co/A5HTz968J5"
30,Nyonenka,"@DineshPahwa8 @IndiaPostOffice @AshwiniVaishnaw @devusinh @DoT_India @_DigitalIndia @pib_comm @PMOIndia @narendramodi #DigitalIndia @PMOIndia 

Digital Karo but approval ki process gadho ke hath me mat do. Koi strict aur jankar officer rakho. Ulta ye Simple way to corruption ho gaya."
31,ritvik_mohanta,#PMOIndia #NarendraModi #bsnl #5G IN remote area no service from bsnl broadband what to do now. #DigitalIndia #BSNL https://t.co/KcxBsM5stb
32,shashisshukl,"RT @CSCegov_: CSC Jaankari Suvidha...

For all the latest information and details about the CSC Services, Videos, newsletters, Important Da…"
33,KBanik9,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
